id_old,id_new,slug
2437,1,ayn-hawd
2438,2,al-mazar-haifa
2439,3,jaba-haifa
2440,4,ijzim
2441,5,ayn-ghazal
2442,6,kafr-lam
2443,7,al-sarafand
2444,8,al-tantura
2445,9,furreidis
2446,10,meir-shefeya
2447,11,khirbat-al-damun
2448,12,isfiya
2449,13,daliyat-al-karmil
2450,14,khirbat-al-mansura
2451,15,al-jalama-haifa
2452,16,kefar-hasidim-alef
2453,17,yajur
2454,18,bet-shearim
2456,20,kefar-yehoshua
2457,21,ramat-yishay-jeida
2458,22,sede-yaaqov
2459,23,shaar-haamaqim
2460,24,allonim
2461,25,nahalal
2462,26,ramat-david
2463,27,al-sheikh-bureik
2464,28,abu-sinan
2465,29,acre
2466,30,amqa-acre
2467,31,arab-al-samniyya
2468,32,arraba-acre
2469,33,al-bassa
2470,34,bayt-jann
2471,35,bina
2472,36,al-birwa
2473,37,buqeia
2474,38,al-damun
2475,39,dayr-al-asad
2476,40,dayr-hanna
2477,41,dayr-al-qasi
2478,42,al-ghabisiyya
2479,43,hanita
2480,44,iqrit
2481,45,al-jadeida
2482,46,jatt-acre
2483,47,khirbat-jiddin
2484,48,julis-acre
2485,49,kabul
2486,50,kafr-inan
2487,51,kafr-sumei
2488,52,kafr-yasif
2490,54,kisra-sumei
2491,55,kuwaykat
2492,56,majd-al-kurum
2493,57,makr
2494,58,al-manshiyya-acre
2495,59,al-mazraa
2496,60,miar
2497,61,miilya
2498,62,nahf
2499,63,al-nahr
2500,64,nahariyya
2501,65,al-rama-acre
2502,66,al-ruways
2503,67,sajur
2505,69,shaab
2506,70,suhmata
2507,71,al-sumayriyya
2508,72,tamra-acre
2509,73,tarbikha
2510,74,tarshiha
2511,75,umm-al-faraj
2512,76,yanuh
2513,77,yirka
2514,78,al-zeeb
2519,83,abu-al-fadl
2520,84,abu-shusha-ramle
2521,85,aqir
2522,86,barfiliya
2523,87,barriyya
2524,88,bashshit
2525,89,beer-yaaqov
2526,90,bet-hanan
2527,91,khirbat-bayt-far
2528,92,bayt-jiz
2529,93,bayt-nabala
2530,94,bayt-nuba
2531,95,bet-oved
2532,96,bayt-shanna
2533,97,bayt-susin
2534,98,ben-shemen-knoar
2535,99,bilin-ramle
2536,100,bir-main
2537,101,bir-salim
2538,102,burdus
2539,103,al-burj-ramle
2540,104,khirbat-buwayra
2541,105,daniyal
2542,106,dayr-abu-salama
2543,107,dayr-ayyub
2544,108,dayr-muhaysin
2545,109,dayr-qadis
2546,110,dayr-tarif
2547,111,al-duhriyya
2548,112,gan-shelomo
2549,113,gedera
2550,114,givat-brenner
2551,115,al-haditha
2552,116,idnibba
2553,117,imwas
2554,118,innaba
2555,119,jilya
2556,120,jimzu
2557,121,jindas
2559,123,kefar-bilu
2561,125,kefar-menahem
2562,126,kefar-sirkin
2563,127,kefar-uriyya
2564,128,khirbat-al-qubeiba
2565,129,al-khalayil
2566,130,kharbata
2567,131,kharruba
2568,132,al-khayma
2569,133,khirbat-mismar
2570,134,khulda
2571,135,hulda
2572,136,al-kunayyisa
2573,137,al-latrun
2574,138,al-lubban
2575,139,lydda
2576,140,al-maghar
2577,141,majdal-yaba
2578,142,al-mansura-ramle
2579,143,mazkeret-batya
2580,144,midya
2581,145,al-mukhayzin
2582,146,muzayria
2583,147,al-naani
2584,148,al-nabi-rubin-ramle
2586,150,nilin
2587,151,qatra
2588,152,qazaza
2589,153,qibya
2590,154,al-qubab
2591,155,al-qubayba-ramle
2592,156,qula
2593,157,ramle
2594,158,rantis
2595,159,rehovot
2596,160,rishon-leziyyon
2597,161,sajad
2598,162,salbit
2599,163,sarafand-amar
2600,164,sarafand-al-kharab
2601,165,saydun
2602,166,shabtin
2603,167,shahma
2604,168,shilta
2605,169,shuqba
2606,170,al-tina
2607,171,al-tira-ramle
2609,173,umm-kalkha
2610,174,wadi-haunayn
2611,175,nes-ziyyona
2612,176,yalu
2613,177,yibna
2614,178,khirbat-zakariyya
2615,179,zarnuqa
2617,181,arab-al-arida
2618,182,beisan
2619,183,arab-al-bawati
2620,184,arab-al-safa
2621,185,al-ashrafiyya
2623,187,bashatwi
2624,188,bet-alfa
2625,189,bet-hashitta
2626,190,al-bira-beisan
2627,191,danna
2628,192,en-harod-meuhad
2629,193,farwana
2630,194,al-fatur
2632,196,geva
2633,197,al-ghazzawiyya
2634,198,al-hamidiyya
2635,199,al-hamra-beisan
2636,200,hefzi-bah
2637,201,jabbul
2638,202,jisr-aql-majami
2639,203,kafr-misr
2640,204,kafra
2641,205,kawkab-al-hawa
2642,206,kefar-yehezqel
2643,207,al-khunayzir
2644,208,masil-al-jizl
2645,209,al-murassas
2646,210,qumya
2647,211,al-sakhina
2648,212,al-samiriyya
2649,213,sirin
2650,214,al-tayyiba-beisan
2651,215,tall-al-shawk
2652,216,tel-yosef
2653,217,al-tira-beisan
2654,218,tirat-zevi
2655,219,umm-ajra
2656,220,wadi-al-bira
2657,221,yubla
2658,222,zaba
2659,223,al-auja-beersheba
2660,224,beersheba
2662,226,gevulot
2663,227,al-jammama
2664,228,ruhama
2665,229,revivim
2666,230,ahywat-tribes
2667,231,azazima-tribes
2668,232,hanajira-tribes
2669,233,jubarat
2670,234,saidiyin-tribes
2671,235,abu-suhaiban
2672,236,tayaha-tribes
2673,237,dhullam
2674,238,huquq
2675,239,nutush
2676,240,gatatweh-tayaha
2677,241,qudeirat
2678,242,ramadan
2679,243,shallaliyin
2680,244,abasan-al-kabur
2681,245,al-mughraqa-abu-middein
2682,246,arab-suqrir-abu-suweirih
2683,247,bani-suheila
2684,248,barbara
2685,249,barqa
2686,250,al-batani-al-gharbi
2687,251,al-batani-al-sharqi
2688,252,beer-toviyya
2689,253,bayt-affa
2690,254,bayt-daras
2691,255,bayt-hannun
2692,256,bayt-jirja
2693,257,bayt-lahiya
2694,258,bayt-tima
2695,259,bilin-gaza
2696,260,burayr
2697,261,dayr-al-balah
2698,262,dayr-sunayd
2699,263,dimra
2700,264,al-faluja
2701,265,gan-yavne
2702,266,gaza
2703,267,hamama
2704,268,hatta
2705,269,hiribya
2706,270,huj
2707,271,hulayqat
2708,272,ibdis
2709,273,iraq-al-manshiyya
2710,274,iraq-suwaydan
2711,275,isdud
2712,276,jabaliya
2713,277,al-jaladiyya
2714,278,al-jiyya
2715,279,julis-gaza
2716,280,al-jura-gaza
2717,281,jusayr
2718,282,karatiyya
2719,283,kawfakha
2720,284,kawkaba
2721,285,kefar-warburg
2722,286,khirbat-khuzaa
2723,287,khan-yunis
2724,288,khirbat-khisas
2725,289,al-majdal-gaza
2726,290,al-masmiyya-al-kabira
2727,291,al-masmiyya-al-saghira-huraniya
2728,292,al-muharraqa
2729,293,najd
2730,294,nazla
2731,295,negba
2732,296,niilya
2733,297,nuseirat
2734,298,qastina
2735,299,rafah
2736,300,al-sawafir-al-gharbiyya
2737,301,al-sawafir-al-shamaliyya
2738,302,al-sawafir-al-sharqiyya
2739,303,simsim
2740,304,summil
2742,306,tall-al-turmus
2743,307,yasur-gaza
2745,309,abu-shusha-haifa
2746,310,abu-zurayq
2747,311,arab-al-fuqara
2748,312,arab-al-nufayat
2749,313,arara
2750,314,balad-al-shaykh
2751,315,bethlehem-galilee
2752,316,bat-shelomo
2753,317,binyamina-givat-ada
2754,318,burayka
2756,320,al-butaymat
2757,321,daliyat-al-rawhaa
2758,322,al-dumayri
2759,323,en-hashofet
2761,325,emeq-tsevulun
2762,326,al-ghubayya-al-tahta
2764,328,hadera
2765,329,haifa
2766,330,hazorea
2768,332,ibillin
2769,333,kabara
2770,334,kafr-qari
2771,335,al-kafrayn
2772,336,khirbat-jisr-al-zarqa
2776,340,kefar-hamakkabbi
2777,341,khubbayza
2778,342,khirbat-lid
2779,343,al-mansi
2780,344,yagur
2781,345,mishmar-haemeq
2782,346,nesher
2783,347,pardes-hanna-karkur
2784,348,qannir
2787,351,qisarya
2788,352,ramat-hashofet
2789,353,ramat-yohanan
2790,354,al-rihaniyya-haifa
2791,355,sabbarin
2792,356,shafa-amr
2793,357,al-sindiyana
2794,358,al-tira-haifa
2795,359,umm-al-shawf
2796,360,umm-al-zinat
2797,361,usha
2798,362,wadi-ara
2799,363,waldheim-umm-al-amad
2801,365,yoqneam-moshava
2802,366,zikhron-yaaqov
2803,367,ajjur
2804,368,arab-al-jahalin-hebron
2805,369,arab-al-kaabina
2806,370,bani-naim
2807,371,barqusya
2808,372,bayt-aula
2809,373,bayt-jibrin
2810,374,bayt-kahil
2811,375,bayt-nattif
2812,376,bayt-ummar
2813,377,al-dawayima
2814,378,dayr-al-dubban
2815,379,dayr-nakhkhas
2816,380,al-dahiriyya
2817,381,dura
2818,382,halhul
2819,383,hebron
2820,384,idna
2821,385,al-jaba
2822,386,khirbat-jamrura
2823,387,kharas
2824,388,kudna
2825,389,mughallis
2826,390,nuba
2827,391,al-qubayba-hebron
2828,392,rana
2829,393,al-rihiya
2830,394,saeer
2831,395,al-samu
2832,396,al-shuyukh
2833,397,surif
2834,398,taffuh
2835,399,tall-al-safi
2836,400,tarqumiya
2837,401,zikrin
2838,402,khirbat-umm-burj
2839,403,yatta
2840,404,zakariyya
2841,405,zayta-hebron
2842,406,al-yahudiya-al-abisiyya
2843,407,abu-kishk
2844,408,bat-yam
2845,409,bayt-dajan-jaffa
2846,410,bene-beraq
2847,411,biyar-adas
2848,412,fajja
2849,413,gat-rimmon
2850,414,givatayim
2851,415,givat-hen
2852,416,hadar-am
2853,417,al-haram
2854,418,herzliyya
2855,419,holon
2856,420,jaffa
2857,421,ijlil-al-qibliyya
2858,422,ijlil-al-shamaliyya
2859,423,al-jammasin-al-gharbi
2860,424,al-jammasin-al-sharqi
2861,425,jarisha
2862,426,kafr-ana
2864,428,kefar-malal
2865,429,kefar-sava
2866,430,al-khayriyya
2868,432,al-masudiyya
2869,433,miqwe-yisrael
2870,434,al-mirr
2871,435,al-muwaylih
2873,437,petah-tiqwa
2875,439,raanana
2877,441,ramat-hasharon
2878,442,ramat-gan
2879,443,rantiya
2880,444,rishpon
2881,445,al-safiriyya
2882,446,salama-jaffa
2883,447,saqiya
2884,448,sarona
2885,449,al-sawalima
2886,450,shefayim
2887,451,al-shaykh-muwannis
2888,452,tel-aviv
2890,454,wilhelma
2891,455,yarqona
2892,456,yazur
2894,458,abu-dis
2895,459,allar
2896,460,anata
2897,461,aqqur
2898,462,arab-al-taamira
2899,463,arab-ibn-ubeid-al-ubeidiya
2900,464,arab-al-rashayida
2901,465,artas
2902,466,artuf
2903,467,atarot-jerusalem
2904,468,al-auja-jerusalem
2905,469,ayn-karim
2906,470,battir
2907,471,bayt-duqqu
2908,472,bayt-fajjar
2909,473,bayt-hanina
2910,474,bayt-ijza
2911,475,bayt-iksa
2912,476,bayt-inan
2913,477,bayt-itab
2914,478,bayt-jala
2915,479,bayt-al-jimal
2916,480,bayt-mahsir
2917,481,bayt-naqquba
2918,482,bayt-safafa
2919,483,bayt-sahur
2920,484,bayt-suriq
2921,485,bayt-thul
2922,486,bayt-umm-al-mays
2923,487,al-eizariya-bethany
2924,488,bethlehem
2925,489,biddu
2926,490,bir-nabala
2927,491,al-burayj
2928,492,dayr-aban
2929,493,dayr-amr
2930,494,dayr-al-hawa
2931,495,bir-rafat
2932,496,dayr-al-shaykh
2933,497,dayr-yasin
2934,498,duyuk
2935,499,har-tuv
2936,500,hizma
2937,501,husan
2938,502,al-isawiyya
2939,503,ishwa
2940,504,islin
2941,505,khirbat-ism-allah
2942,506,jaba-jerusalem
2943,507,jarash
2944,508,jericho
2945,509,jerusalem
2946,510,al-jib
2947,511,judeira
2948,512,al-jura-jerusalem
2949,513,kafr-aqab
2950,514,kasla
2951,515,al-khadr
2952,516,khan-al-ahmar
2953,517,khirbat-al-lawz
2954,518,lifta
2955,519,al-maliha
2956,520,mukhmas
2957,521,nabi-musa
2958,522,al-nabi-sumwil
2959,523,nahalin
2960,524,nitaf
2961,525,neve-yaakov-jerusalem
2962,526,nueima
2963,527,al-qabu
2964,528,qalandiya
2965,529,qalunya
2966,530,abu-ghosh
2967,531,al-qastal
2968,532,qatanna
2969,533,qiryat-anavim
2970,534,al-qubayba-jerusalem
2971,535,rafat-jerusalem
2972,536,al-ram
2973,537,ramat-rahel
2974,538,ras-abu-ammar
2975,539,sara
2976,540,saris
2977,541,sataf
2978,542,al-sawahira
2979,543,sharafat
2980,544,shufat
2981,545,silwan
2982,546,suba
2983,547,sufla
2984,548,sur-bahir
2985,549,al-tur
2986,550,khirbat-al-umur
2987,551,wadi-fuqin
2988,552,al-walaja-jerusalem
2989,553,ajja
2990,554,anin
2991,555,anza
2992,556,arraba-jenin
2993,557,arabbuna
2994,558,araqa
2995,559,arrana
2996,560,ayn-al-mansi
2997,561,al-barid-al-hashimiya
2998,562,bartaa
2999,563,bayt-qad
3000,564,burqin-jenin
3001,565,dayr-abu-daif
3002,566,dayr-ghazala
3003,567,fahma
3004,568,fandaqumiya
3005,569,faqqua
3006,570,firasin
3007,571,jaba-jenin
3008,572,jalama
3009,573,jalbun
3010,574,jalqamus
3011,575,jarba
3012,576,jenin
3013,577,judeida
3014,578,kafr-dan
3015,579,kafr-qad
3016,580,kafr-rai
3017,581,kufayr
3018,582,kufeirat
3019,583,al-mazar-jenin
3020,584,meithalun
3021,585,mirka
3022,586,misilya
3023,587,al-mughayyir-jenin
3024,588,muqeibila
3025,589,nuris
3026,590,qabatiya
3027,591,raba
3028,592,al-rama-jenin
3029,593,rummana-jenin
3030,594,sandala
3031,595,sanur
3032,596,silat-al-dahr
3033,597,silat-al-harithiya
3034,598,sir
3035,599,siris
3036,600,tiinnik
3037,601,tilfit
3038,602,umm-al-fahm
3039,603,umm-al-tut
3040,604,yabad
3041,605,yamun
3042,606,zababida
3043,607,zalafa
3044,608,zawiya-jenin
3045,609,zibda
3046,610,zirin
3047,611,zububa
3048,612,ammuriyya
3049,613,aqqaba
3050,614,aqraba
3051,615,asira-al-qiblya
3052,616,asira-al-shamaliyya
3053,617,askar
3054,618,awarta
3055,619,aynabus
3056,620,azmut
3057,621,balata
3058,622,baqat-al-hatab
3059,623,bayt-dajan-nablus
3060,624,bayt-furiq
3061,625,bayt-iba
3062,626,bayt-umrin
3063,627,bayt-wazzan
3064,628,bazzariya
3065,629,beita
3066,630,biddya
3067,631,burin
3068,632,burqa-nablus
3069,633,burqin-nablus
3070,634,dayr-ballut
3071,635,dayr-al-hatab
3072,636,dayr-istiyya
3073,637,dayr-sharaf
3074,638,duma
3075,639,farta
3076,640,farkha
3077,641,al-funduq
3078,642,ghor-al-faria
3079,643,hajja
3080,644,haris
3081,645,huwwara
3082,646,ijnisinya
3083,647,immatin
3084,648,iskaka
3085,649,jalud
3086,650,jammain
3087,651,jinsafut
3088,652,jit
3089,653,juneid
3090,654,jurish
3091,655,kafr-al-deik
3092,656,kafr-laqif
3093,657,kavr-qaddum
3094,658,kafr-qalil
3095,659,khirbat-qeis
3096,660,khirbat-sir
3097,661,kifl-harith
3098,662,lubban-al-sharqiyya
3099,663,madama
3100,664,majdal-bani-fadil
3101,665,marda
3102,666,mas-ha
3103,667,al-mughayyir-nablus
3104,668,nablus
3105,669,al-naqura
3106,670,nidf-jubeil
3107,671,qabalan
3108,672,qarawar-bani-hasan
3109,673,qaryut
3110,674,qira-nablus
3111,675,qusin
3112,676,qusra
3113,677,rafat-nablus
3114,678,rafidiya
3115,679,rujeib
3116,680,sabastiyya
3117,681,salfit
3118,682,salim-nablus
3119,683,sanniriya
3120,684,sarra
3121,685,sarta
3122,686,al-sawiya
3123,687,talfit
3124,688,tall
3125,689,talluza
3126,690,tammun
3127,691,tayasir
3128,692,tubas
3129,693,urif
3130,694,usarin
3131,695,yanun
3132,696,yasid
3133,697,yasuf
3134,698,yatma
3135,699,zawata
3136,700,zawiya-nablus
3137,701,zayta-nablus
3139,703,afula
3140,704,arab-al-subeih
3141,705,ayn-mahil
3142,706,balfurya
3143,707,bueina
3144,708,dabburiyya
3145,709,al-dahi
3146,710,gevat
3147,711,ginnegar
3148,712,iksal
3149,713,ilut
3150,714,indur
3151,715,kafr-kanna
3152,716,kafr-manda
3153,717,kawkab-abu-al-heija
3154,718,kefar-barukh
3155,719,kefar-gidon
3157,721,kefar-tavor
3159,723,mahane-yisrael
3160,724,maalul
3161,725,mash-had
3162,726,merhavya-moshav
3163,727,merhavya-qibbuz
3164,728,mizra
3165,729,mount-tabour
3166,730,al-mujaydal
3167,731,nain
3168,732,naura
3169,733,nazareth
3170,734,al-reina
3171,735,rummana-nazareth
3172,736,safuriyya
3173,737,sarid
3174,738,sulam
3175,739,tamra-nazareth
3176,740,tel-adashim
3177,741,turan
3178,742,umm-qubei-khirbat-malta
3179,743,uzeir
3180,744,yafa
3181,745,abu-qashsh
3182,746,abu-shukheidim
3183,747,abud
3184,748,ibwein
3185,749,ajjul
3186,750,arura
3187,751,atara
3188,752,ayn-arik
3189,753,ayn-qinya
3190,754,ayn-sinya
3191,755,ayn-yabrud
3192,756,bayt-liqya
3193,757,bayt-rima
3194,758,bayt-sira
3195,759,bayt-ur-al-fuqa
3196,760,bayt-ur-al-tahta
3197,761,beitillu
3198,762,beitin
3199,763,beitunya
3200,764,bir-zeit
3201,765,al-bira-ramallah
3202,766,burham
3203,767,burqa-ramallah
3204,768,dayr-abu-mashal
3205,769,dayr-ammar
3206,770,dayr-dibwan
3207,771,dayr-ghassana
3208,772,dayr-ibzi
3209,773,dayr-jarir
3210,774,dayr-nidham
3211,775,dayr-al-surdan
3212,776,dura-al-qari
3213,777,jammala
3214,778,al-janiya
3215,779,jibya
3216,780,jifna
3217,781,jiljilya
3218,782,kafr-ein
3219,783,kafr-malik
3220,784,kafr-nima
3221,785,kaubar
3222,786,khirbat-al-misbah
3223,787,khirbat-abu-falah
3224,788,mazari-al-nubani
3225,789,al-mazara-al-qibliyya
3226,790,al-mazraa-al-sharqiyya
3227,791,al-nabi-salih
3228,792,qarawat-bani-zeid
3229,793,ramallah
3230,794,rammun
3231,795,ras-karkar
3232,796,saffa
3233,797,silwad
3234,798,sinjil
3235,799,surda
3236,800,tayyiba
3237,801,al-tira-ramallah
3238,802,turmus-ayya
3239,803,umm-safa
3240,804,yabrud
3241,805,abil-al-qamh
3242,806,al-abisiyya
3243,807,ayyelet-hashahar
3244,808,akbara
3245,809,alma-safad
3246,810,ammuqa
3247,811,arab-al-shamalina
3248,812,ayn-al-zaytun
3249,813,baysamun
3250,814,biriyya-safad
3251,815,al-buwayziyya
3252,816,dafna
3253,817,dallata
3254,818,dan
3255,819,al-dawwara
3256,820,dayshum
3257,821,al-dirbashiyya
3259,823,fara
3260,824,al-farradiyya
3261,825,firim
3262,826,ghabbatiyya
3263,827,ghuraba
3264,828,harrawi
3265,829,khirbat-al-hiqab
3266,830,hazon
3268,832,hunin
3269,833,hurfeich
3270,834,jahula
3271,835,al-jauna
3272,836,jish
3273,837,jubb-yusuf
3274,838,kafr-birim
3275,839,al-khalisa
3276,840,kefar-giladi
3277,841,al-khisas
3278,842,khiyam-al-walid
3279,843,kirad-al-baqqara
3280,844,kirad-al-ghannama
3281,845,lazzaza
3283,847,al-malikiyya
3284,848,mallaha
3285,849,menara
3286,850,al-mansura-safad
3287,851,mansurat-al-khayt
3288,852,marus
3289,853,mirun
3290,854,metula
3291,855,mishmar-hayarden
3292,856,al-muftakhira
3293,857,mughr-al-khayt
3294,858,al-nabi-yusha
3295,859,al-naima
3296,860,qabbaa
3297,861,qadas
3298,862,qaddita
3299,863,qaytiyya
3300,864,al-qudayriyya
3301,865,al-ras-al-ahmar
3302,866,al-rihaniyya-safad
3303,867,rosh-pinna
3304,868,sabalan
3305,869,safad
